argumentTypeId,argumentTypeName,sourceOccurrenceId,sourceTaxonId,sourceTaxonName,sourceTaxonKingdomName,sourceBodyPartId,sourceBodyPartName,sourceLifeStageId,sourceLifeStageName,sourcePhysiologicalStateId,sourcePhysiologicalStateName,interactionTypeId,interactionTypeName,targetOccurrenceId,targetTaxonId,targetTaxonName,targetTaxonKingdomName,targetTaxonPhylumName,targetTaxonClassName,targetTaxonOrderName,targetTaxonFamilyName,targetTaxonGenusName,targetTaxonSpecificEpithetName,targetTaxonSubSpecificEpithetName,targetBodyPartId,targetBodyPartName,targetLifeStageId,targetLifeStageName,targetPhysiologicalStateId,targetPhysiologicalStateName,localityId,localityName,decimalLatitude,decimalLongitude,observationDateTime,referenceDoi,referenceUrl,referenceCitation
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Mamastrovirus Porcine astrovirus Type 2,,,,,,Mamastrovirus,Porcine astrovirus,Type 2,,,,,,,,Canada,,,2006,10.1016/j.vetmic.2010.11.026,,"Luo, Z. et al. Multiple novel and prevalent astroviruses in pigs. Veterinary microbiology 149, 316-323, doi:S0378-1135(10)00566-3 [pii] 10.1016/j.vetmic.2010.11.026 (2011)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Mamastrovirus Porcine astrovirus Type 2,,,,,,Mamastrovirus,Porcine astrovirus,Type 2,,,,,,,,Canada,,,2006,10.1007/s00705-011-1088-7,,"Laurin, M. A., Dastor, M. & L'Homme, Y. Detection and genetic characterization of a novel pig astrovirus: relationship to other astroviruses. Arch Virol 156, 2095-2099, doi:10.1007/s00705-011-1088-7 (2011)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Mamastrovirus Porcine astrovirus Type 3,,,,,,Mamastrovirus,Porcine astrovirus,Type 3,,,,,,,,Canada,,,2006,10.1016/j.vetmic.2010.11.026,,"Luo, Z. et al. Multiple novel and prevalent astroviruses in pigs. Veterinary microbiology 149, 316-323, doi:S0378-1135(10)00566-3 [pii] 10.1016/j.vetmic.2010.11.026 (2011)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Mamastrovirus Porcine astrovirus Type 3,,,,,,Mamastrovirus,Porcine astrovirus,Type 3,,,,,,,,Canada,,,2006,10.1007/s00705-011-1088-7,,"Laurin, M. A., Dastor, M. & L'Homme, Y. Detection and genetic characterization of a novel pig astrovirus: relationship to other astroviruses. Arch Virol 156, 2095-2099, doi:10.1007/s00705-011-1088-7 (2011)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Mamastrovirus Porcine astrovirus Type 4,,,,,,Mamastrovirus,Porcine astrovirus,Type 4,,,,,,,,Hungary,,,2007,10.1007/s00705-011-1088-7,,"Laurin, M. A., Dastor, M. & L'Homme, Y. Detection and genetic characterization of a novel pig astrovirus: relationship to other astroviruses. Arch Virol 156, 2095-2099, doi:10.1007/s00705-011-1088-7 (2011)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Mamastrovirus Porcine astrovirus Type 5,,,,,,Mamastrovirus,Porcine astrovirus,Type 5,,,,,,,,Canada,,,2008,10.1007/s00705-011-1088-7,,"Laurin, M. A., Dastor, M. & L'Homme, Y. Detection and genetic characterization of a novel pig astrovirus: relationship to other astroviruses. Arch Virol 156, 2095-2099, doi:10.1007/s00705-011-1088-7 (2011)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Bornavirus Borna disease virus ,,,,,,Bornavirus,Borna disease virus ,,,,,,,,,China,,,2009,,https://www.cabdirect.org/cabdirect/abstract/20103038641,"Zhang, Y. Y. et al. Investigation of natural Borna disease virus infection in peripheral blood mononuclear cells of some cattle and pigs in Chongqing. Chinese Veterinary Science 39, 1045-1050 (2009)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Orthobunyavirus Bunyamwera virus Batai virus,,,,,,Orthobunyavirus,Bunyamwera virus Batai virus,,,,,,,,,India,,,1986,,https://pubmed.ncbi.nlm.nih.gov/7879716/,"Geevarghese, G., Prasanna, N. Y., Jacob, P. G., Hanumaiah & Bhat, H. R. Isolation of Batai virus from sentinel domestic pig from Kolar district in Karnataka State, India. Acta Virol 38, 239-240 (1994)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Orthobunyavirus California encephalitis virus,,,,,,Orthobunyavirus,California encephalitis virus,,,,,,,,,,,,,,,
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Orthobunyavirus California encephalitis virus La Crosse virus,,,,,,Orthobunyavirus,California encephalitis virus La Crosse virus,,,,,,,,,USA,,,1988,10.4269/ajtmh.1988.39.409,https://pubmed.ncbi.nlm.nih.gov/3189702/,"Godsey, M. S., Jr., Amoo, F., Yuill, T. M. & Defoliart, G. R. California serogroup virus infections in Wisconsin domestic animals. Am J Trop Med Hyg 39, 409-416 (1988)."
